game_id,date,time,round,meet_seq,home_team,away_team,home_score,away_score,stadium,stadium_full,attendance,game_status,end_yn,broadcast,weekday,referee,weather,temperature,humidity,is_derby,day_of_week,is_weekend,month,season_half,home_rank_before,away_rank_before,home_points_before,away_points_before,home_played_before,away_played_before,rank_difference,home_is_upper_split,away_is_upper_split,home_is_lower_split,away_is_lower_split,home_is_relegation,away_is_relegation,home_relegation_danger,away_relegation_danger,home_is_acl,away_is_acl,home_split_group,away_split_group,home_detailed_group,away_detailed_group,is_cross_split,home_form_points,away_form_points,home_recent_wins,away_recent_wins,form_difference
1,2026-02-28,14:00,1,1,인천,서울,0,0,인천 전용,인천 축구 전용경기장,0,,N,,토,,,,,1,Saturday,1,2,상반기,3,5,0,0,0,0,-2,1,1,0,0,0,0,0,0,0,0,상위스플릿,상위스플릿,상위권,중위권,0,0,0,0,0,0
2,2026-02-28,14:00,1,1,울산,강원,0,0,울산 문수,울산 문수 축구경기장,0,,N,,토,,,,,0,Saturday,1,2,상반기,6,11,0,0,0,0,-5,1,0,0,1,0,1,0,1,0,0,상위스플릿,하위스플릿,중위권,강등권,1,0,0,0,0,0
3,2026-02-28,16:30,1,1,김천,포항,0,0,김천 종합,김천 종합 운동장,0,,N,,토,,,,,0,Saturday,1,2,상반기,1,2,0,0,0,0,-1,1,1,0,0,0,0,0,0,1,1,상위스플릿,상위스플릿,ACL권,ACL권,0,0,0,0,0,0
4,2026-03-01,14:00,1,1,전북,부천,0,0,전주 월드컵,전주 월드컵 경기장,0,,N,,일,,,,,0,Sunday,1,3,상반기,9,10,0,0,0,0,-1,0,0,1,1,0,0,1,1,0,0,하위스플릿,하위스플릿,강등위기,강등위기,0,0,0,0,0,0
5,2026-03-01,16:30,1,1,제주,광주,0,0,제주 월드컵,제주 월드컵 경기장,0,,N,,일,,,,,0,Sunday,1,3,상반기,8,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,0,0,0,0,0
6,2026-03-02,14:00,1,1,대전,안양,0,0,대전 월드컵,대전 월드컵 경기장,0,,N,,월,,,,,0,Monday,0,3,상반기,12,4,0,0,0,0,8,0,1,1,0,1,0,1,0,0,0,하위스플릿,상위스플릿,강등권,상위권,1,0,0,0,0,0
7,2026-03-07,14:00,2,1,포항,강원,0,0,포항 스틸야드,포항 스틸야드,0,,N,,토,,,,,0,Saturday,1,3,상반기,2,11,0,0,0,0,-9,1,0,0,1,0,1,0,1,1,0,상위스플릿,하위스플릿,ACL권,강등권,1,0,0,0,0,0
8,2026-03-07,14:00,2,1,울산,서울,0,0,울산 문수,울산 문수 축구경기장,0,,N,,토,,,,,0,Saturday,1,3,상반기,6,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,상위스플릿,상위스플릿,중위권,중위권,0,0,0,0,0,0
9,2026-03-07,16:30,2,1,광주,인천,0,0,광주 월드컵,광주 월드컵 경기장,0,,N,,토,,,,,0,Saturday,1,3,상반기,7,3,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,하위스플릿,상위스플릿,중위권,상위권,1,0,0,0,0,0
10,2026-03-07,16:30,2,1,부천,대전,0,0,부천 종합,부천 종합 운동장,0,,N,,토,,,,,0,Saturday,1,3,상반기,10,12,0,0,0,0,-2,0,0,1,1,0,1,1,1,0,0,하위스플릿,하위스플릿,강등위기,강등권,0,0,0,0,0,0
11,2026-03-08,14:00,2,1,김천,전북,0,0,김천 종합,김천 종합 운동장,0,,N,,일,,,,,0,Sunday,1,3,상반기,1,9,0,0,0,0,-8,1,0,0,1,0,0,0,1,1,0,상위스플릿,하위스플릿,ACL권,강등위기,1,0,0,0,0,0
