라운드,시작날짜,평균관중,최소관중,최대관중,더비경기수
1,2026-03-01,11040,8166,15422,1
2,2026-03-08,9733,6358,13421,2
3,2026-03-15,7934,6124,8910,0
4,2026-03-22,8204,6369,9191,0
5,2026-03-29,7668,5661,8689,0
6,2026-04-05,8846,5427,12646,2
7,2026-04-12,6335,4430,7303,0
8,2026-04-19,7268,4895,11622,1
9,2026-04-26,9839,8490,12848,3
10,2026-05-03,10384,7898,14748,1
11,2026-05-10,9290,7328,10273,0
12,2026-05-17,8983,6359,13338,1
13,2026-05-24,7882,6064,8850,0
14,2026-05-31,9688,7640,11682,1
15,2026-06-07,10494,8011,14839,1
16,2026-06-14,9484,7545,10461,0
17,2026-06-21,8450,6464,9466,0
18,2026-06-28,8161,5572,9602,1
19,2026-07-05,8804,6300,13128,1
20,2026-07-12,9468,6305,13122,2
21,2026-07-19,8644,6112,12967,1
22,2026-07-26,8270,5732,12586,1
23,2026-08-02,9425,6944,10960,1
24,2026-08-09,10317,7219,13958,2
25,2026-08-16,9317,7531,10286,0
26,2026-08-23,10549,7338,14190,2
27,2026-08-30,8963,7907,9493,0
28,2026-09-06,9025,7123,9985,0
29,2026-09-13,8636,6816,9595,0
30,2026-09-20,9374,6924,13667,1
31,2026-09-27,10055,6887,13591,2
32,2026-10-04,10166,7569,11559,1
33,2026-10-11,9734,6431,13409,2
34,2026-10-18,8650,5402,12274,2
35,2026-10-25,6832,5019,7786,0
36,2026-11-01,8378,6634,9335,0
37,2026-11-08,9368,6931,13496,1
38,2026-11-15,9233,6710,13504,1
