라운드,경기번호,홈팀,원정팀,날짜,요일,주말,더비,온도,습도,예측관중,하한95,상한95
1,1,인천,서울,2026-02-28,Saturday,주말,더비,8.4,44,43364,8889,52036
1,2,울산,강원,2026-02-28,Saturday,주말,일반,8.4,44,24550,4831,29460
1,3,김천,포항,2026-02-28,Saturday,주말,일반,8.4,44,24550,4408,29460
1,4,전북,부천,2026-03-01,Sunday,주말,일반,11.4,46,24370,4635,29244
1,5,제주,광주,2026-03-01,Sunday,주말,일반,11.4,46,24370,3391,29244
1,6,대전,안양,2026-03-02,Monday,평일,일반,11.4,46,24115,4520,28937
2,7,포항,강원,2026-03-07,Saturday,주말,일반,11.4,46,12330,3661,14796
2,8,울산,서울,2026-03-07,Saturday,주말,일반,11.4,46,12330,3813,14796
2,9,광주,인천,2026-03-07,Saturday,주말,일반,11.4,46,12330,3573,14796
2,10,부천,대전,2026-03-07,Saturday,주말,일반,11.4,46,12330,3358,14796
2,11,김천,전북,2026-03-08,Sunday,주말,일반,11.4,46,11396,2483,13675
2,12,안양,제주,2026-03-08,Sunday,주말,일반,11.4,46,11396,2538,13675
3,13,광주,전북,2026-03-14,Saturday,주말,일반,11.4,46,11189,2822,13426
3,14,대전,김천,2026-03-14,Saturday,주말,일반,11.4,46,11189,2676,13426
3,15,부천,울산,2026-03-15,Sunday,주말,일반,11.4,46,10471,2005,12566
3,16,제주,서울,2026-03-15,Sunday,주말,일반,11.4,46,10471,2234,12566
3,17,강원,안양,2026-03-15,Sunday,주말,일반,11.4,46,10471,2505,12566
3,18,포항,인천,2026-03-15,Sunday,주말,일반,11.4,46,10471,1712,12566
4,19,김천,광주,2026-03-17,Tuesday,평일,일반,11.4,46,7338,0,8806
4,20,부천,강원,2026-03-18,Wednesday,평일,일반,11.4,46,6357,0,7629
4,21,인천,대전,2026-03-18,Wednesday,평일,일반,11.4,46,6357,0,7629
4,22,제주,울산,2026-03-18,Wednesday,평일,일반,11.4,46,6357,0,7629
4,23,전북,안양,2026-03-18,Wednesday,평일,일반,11.4,46,6357,0,7629
4,24,포항,서울,2026-03-18,Wednesday,평일,일반,11.4,46,6357,0,7629
5,25,대전,전북,2026-03-21,Saturday,주말,더비,11.4,46,20988,7207,25186
5,26,서울,광주,2026-03-22,Sunday,주말,일반,11.4,46,10618,1548,12741
5,27,울산,김천,2026-03-22,Sunday,주말,일반,11.4,46,10618,1782,12741
5,28,안양,인천,2026-03-22,Sunday,주말,일반,11.4,46,10618,2170,12741
5,29,강원,제주,2026-03-22,Sunday,주말,일반,11.4,46,10618,2036,12741
5,30,포항,부천,2026-03-22,Sunday,주말,일반,11.4,46,10618,1440,12741
6,31,제주,부천,2026-04-04,Saturday,주말,더비,17.5,44,20600,6491,24720
6,32,전북,울산,2026-04-04,Saturday,주말,더비,17.5,44,20600,6177,24720
6,33,포항,대전,2026-04-04,Saturday,주말,일반,17.5,44,10970,2400,13164
6,34,강원,광주,2026-04-04,Saturday,주말,일반,17.5,44,10970,2434,13164
6,35,안양,서울,2026-04-05,Sunday,주말,더비,17.5,44,19424,5881,23309
6,36,인천,김천,2026-04-05,Sunday,주말,일반,17.5,44,10066,1919,12079
7,37,포항,제주,2026-04-11,Saturday,주말,일반,17.5,44,9505,1512,11406
7,38,서울,전북,2026-04-11,Saturday,주말,일반,17.5,44,9505,1054,11406
7,39,광주,부천,2026-04-11,Saturday,주말,일반,17.5,44,9505,1603,11406
7,40,인천,울산,2026-04-11,Saturday,주말,일반,17.5,44,9505,1017,11406
7,41,대전,강원,2026-04-12,Sunday,주말,일반,17.5,44,8692,696,10430
7,42,김천,안양,2026-04-12,Sunday,주말,일반,17.5,44,8692,575,10430
8,43,강원,전북,2026-04-18,Saturday,주말,일반,17.5,44,9248,727,11098
8,44,서울,대전,2026-04-18,Saturday,주말,일반,17.5,44,9248,706,11098
8,45,제주,김천,2026-04-18,Saturday,주말,일반,17.5,44,9248,871,11098
8,46,부천,인천,2026-04-18,Saturday,주말,일반,17.5,44,9248,783,11098
8,47,울산,광주,2026-04-19,Sunday,주말,일반,17.5,44,8678,13,10414
8,48,포항,안양,2026-04-19,Sunday,주말,일반,17.5,44,8678,715,10414
9,49,김천,강원,2026-04-21,Tuesday,평일,일반,17.5,44,5869,0,7042
9,50,서울,부천,2026-04-21,Tuesday,평일,일반,17.5,44,5869,0,7042
9,51,전북,인천,2026-04-21,Tuesday,평일,일반,17.5,44,5869,0,7042
9,52,대전,제주,2026-04-22,Wednesday,평일,일반,17.5,44,5061,0,6074
9,53,안양,울산,2026-04-22,Wednesday,평일,일반,17.5,44,5061,0,6074
9,54,포항,광주,2026-04-22,Wednesday,평일,일반,17.5,44,5061,0,6074
10,55,강원,서울,2026-04-25,Saturday,주말,일반,17.5,44,10518,2278,12622
