라운드,시작날짜,평균관중,최소관중,최대관중,더비경기수
1,2026-03-01,24702,17563,32920,1
2,2026-03-08,13034,7848,16557,2
3,2026-03-15,9482,7338,10639,0
4,2026-03-22,9657,7530,10824,0
5,2026-03-29,9268,6986,10438,0
6,2026-04-05,11553,6492,19362,2
7,2026-04-12,7618,5397,8767,0
8,2026-04-19,9093,5869,13866,1
9,2026-04-26,13535,10085,16007,3
10,2026-05-03,12734,9258,17344,1
11,2026-05-10,11115,8857,12279,0
12,2026-05-17,11388,7743,16003,1
13,2026-05-24,9463,7346,10609,0
14,2026-05-31,11934,8784,15505,1
15,2026-06-07,12890,9547,17612,1
16,2026-06-14,11473,9236,12634,0
17,2026-06-21,10286,7964,11458,0
18,2026-06-28,10413,6862,13312,1
19,2026-07-05,10568,7299,15376,1
20,2026-07-12,12219,7623,15678,2
21,2026-07-19,11096,7601,15733,1
22,2026-07-26,10632,7122,15280,1
23,2026-08-02,11384,7916,14513,1
24,2026-08-09,13425,8430,21313,2
25,2026-08-16,11187,9159,12337,0
26,2026-08-23,14226,9137,22280,2
27,2026-08-30,10763,9125,11590,0
28,2026-09-06,10306,8084,11443,0
29,2026-09-13,9977,7902,11114,0
30,2026-09-20,17525,12667,24601,1
31,2026-09-27,20364,12994,24828,2
32,2026-10-04,18798,13170,26460,1
33,2026-10-11,18904,10975,30381,2
34,2026-10-18,17059,9480,27973,2
35,2026-10-25,12572,9503,14272,0
36,2026-11-01,14842,11811,16550,0
37,2026-11-08,17305,12115,23860,1
38,2026-11-15,11081,7747,15804,1
