날짜,실제관중,예측관중,오차,하한95,상한95
2025-05-27,1884,3000,-1116,0,7280
2025-05-27,5833,11586,-5753,2716,16634
2025-05-27,7994,9176,-1182,554,14917
2025-05-28,2040,3600,-1560,0,5257
2025-05-28,3135,3000,135,0,8231
2025-05-28,2933,3600,-667,0,7134
2025-05-31,24270,27562,-3292,16460,30074
2025-05-31,31830,31242,587,12950,26285
2025-05-31,8752,10214,-1462,1646,15281
2025-06-01,8944,10632,-1688,2652,15721
2025-06-01,11111,24074,-12963,8650,21717
2025-06-01,1533,3000,-1467,0,10205
2025-06-13,6219,9030,-2811,940,14111
2025-06-13,2746,5329,-2583,0,10836
2025-06-14,2681,4753,-2072,0,11238
2025-06-14,7524,12875,-5351,2935,16289
2025-06-14,6542,7578,-1036,0,12362
2025-06-17,15290,24973,-9683,14096,27337
2025-06-17,11355,26561,-15206,10853,23951
2025-06-17,9384,19573,-10189,5514,18965
2025-06-18,5307,3600,1707,0,9184
2025-06-18,5016,11968,-6952,3097,16784
2025-06-21,9256,7679,1576,0,13049
2025-06-21,6204,10914,-4710,2646,15578
2025-06-21,22862,30165,-7303,12161,26555
2025-06-22,1774,3000,-1226,0,9434
2025-06-22,3055,5477,-2422,0,11378
2025-06-27,3840,3600,240,0,7900
2025-06-27,7097,12911,-5814,4555,17496
2025-06-28,3401,3335,65,0,10137
2025-06-28,7253,8380,-1127,106,14168
2025-06-29,20036,25903,-5867,14769,27834
2025-07-12,14555,20726,-6171,10173,23529
2025-07-18,2036,3846,-1810,0,9944
2025-07-18,8562,10872,-2310,2321,15823
2025-07-19,7120,5271,1848,0,12095
2025-07-19,10207,8511,1695,0,14020
2025-07-19,13973,11223,2749,2799,16404
2025-07-20,24047,26975,-2928,15614,29611
2025-07-22,8260,7106,1153,0,12349
2025-07-22,1710,3600,-1890,0,7885
2025-07-22,5368,4810,557,0,10446
2025-07-23,8127,15497,-7370,5974,19573
2025-07-23,7084,3600,3484,0,8677
2025-07-23,13795,13221,573,4217,17666
2025-07-26,1922,3000,-1078,0,9096
2025-07-26,8027,10782,-2755,1588,15504
2025-07-26,9544,6171,3372,0,12182
2025-07-27,9144,7206,1937,0,13204
2025-07-27,11029,14532,-3503,5314,19113
2025-07-27,10153,21705,-11552,7278,20923
2025-08-02,10197,19728,-9531,9622,23037
2025-08-08,15778,26197,-10419,14510,28656
2025-08-08,21346,16963,4382,7363,21303
2025-08-09,10510,19820,-9310,9913,23384
2025-08-09,9415,7297,2117,114,13492
2025-08-10,10020,10795,-775,2233,15937
2025-08-10,9022,14978,-5956,6509,18887
2025-08-15,8093,5371,2721,0,12557
2025-08-15,8122,9189,-1067,872,15144
2025-08-16,23460,19481,3978,9570,23023
2025-08-16,5702,6702,-1000,0,12384
2025-08-17,2667,4448,-1781,0,10415
2025-08-17,3278,6599,-3321,0,12223
2025-08-23,2303,4114,-1811,0,10552
2025-08-23,7586,14100,-6514,4761,18581
2025-08-23,3044,7002,-3958,0,12508
